nom,tier,path,description
Recrue,Tiers 1,"",Les Recrues Gardiens entraîne leur défense et leur endurance en priorité. Elles doivent être capable de se déplacer facilement en montagne, certaines apprennent l’escalade, d’autres les cartes pour toujours connaître le chemin.
Archer,Tiers 2,Recrue -> Archer,Les Archers Gardiens utilisent les bases des recrues et se spécialisent dans l’apprentissage des cartes. Souvent éclaireurs, ils connaissent les stratégies utilisés par les Gardiens pour défendre leurs lieux clés.
Soldat,Tiers 2,Recrue -> Soldat,"Les Soldats Gardiens sont leur unité principale. Ces anciennes recrues sont placées stratégiquement dans les grosses bases de la montagne. Ils apprennent à être très mobiles et sont de fabuleux grimpeurs. Cette formation paraît inutile à beaucoup, hérité de vieilles tradition et les excluant de contact avec le monde."
Mage,Tiers 2,Recrue -> Mage,Les Mages Gardiens sont des recrues ayant une forte affinité avec la magie. Ils sont spécialistes de la magie de Terre et connaissent des bases de la magie Blanche. Ils connaissent bien la géologie ce qui leur permet de jouer avec le terrain escarpé de la montagne.
Archer magique,Tiers 3,Recrue -> Archer -> Archer Magique,Les Archers Magiques sont des Archers ayant décidé de privilégier leur mémoire à leur endurance. Ils connaissent une multitudes d’enchantement pour leurs flèches, certains pouvant rivaliser avec les Mages.
Arbalétier,Tiers 3,Recrue -> Archer -> Arbalétier,Les Arbalétiers sont des Archers ayant privilégié leur endurance. Ils ne se déplace pas beaucoup et n’ont souvent que quelques positions clés dont ils connaissent les chemins les plus rapides par coeur. Ils transportent de lourdent arbalètes sur leur dos et entraînent leur force en plus de leur endurance.
Épéiste,Tiers 3,Recrue -> Soldat -> Epéiste,"Les Épéistes Gardiens sont des soldats ayant choisis la voie de l’épée. Ils apprennent plusieurs styles, avec plusieurs et sont encore considéré en formation tant qu’ils n’ont pas atteint le prochain rang. Ce sont pour la plus part des nobles."
Chevalier,Tiers 3,Recrue -> Soldat -> Chevalier,"Les Chevalier Gardiens sont des soldats ayant était adoubés par le conseil. Ils sont promis à pouvoir réaliser un serment et continuent de s’entraîner avec leurs armes de prédilection. Ce sont généralement des gens du peuples, pas assez noble pour être épéistes mais pas assez mauvais pour devenir Garde."
Garde,Tiers 3,Recrue -> Soldat -> Garde,"Les Gardes sont les soldats les moins talentueux. Bien que très utiles puisqu’ils empêchent les ennemis de pénétrer les forteresse, ils sont souvent dénigré par les épéistes. Ils utilisent souvent de grands boucliers et ont une très grande endurance."
Mage du Conseil,Tiers 3,Recrue -> Mage -> Mage du Conseil,Les Mages du Conseils sont les Mages nobles ayant un lien de parenté avec l’un des membres du Conseil. Ils y ont été recommandés par l’un des Membres et sont voués à y siéger. En attendant, ils le défendent agissent de concert avec les Gardes du Conseil.
Archi-mage,Tiers 3,Recrue -> Mage -> Archi-Mage,"Les Archi-mages Gardiens sont les Mages ayant maîtrisés la magie de Terre. Ils sont de fin connaisseur de la montagne et des différents terrains. Fins stratèges, ils peuvent facilement piéger leurs adversaire. Mais ce qui fait leur grande force c’est leurs Sorts signatures qu’ils ont du créer eux mêmes."
Soigneur,Tiers 3,Recrue -> Mage -> Soigneur,Les Soigneurs Gardiens sont des Mages ayant maîtrisés la magie Blanche. Ils peuvent faire appel à la nature pour protéger leurs alliés et agir comme soutien. Le secret de leur magie sont leur base en magie de l’eau, qui leur permet de bénir les plantes qu’ils font pousser.
Alchimiste,Tiers 3,Recrue -> Alchimiste,"Les Alchimistes Gardiens utilisent la montagnes et ces ressources et qui l’étudient. Ils agissent comme architectes et sont indispensables à la constructions des bâtiments car ils savent reconnaître les terrains susceptibles de se dégrader. Ils confectionnent des alliages qui permettent aux bâtiments de résister aux glissement de terrains et de puissant boucliers. Ils connaissent les bases de la magie de feu, ce qui fait d’eux de formidables forgerons."
Balistier,Tiers 4,Recrue -> Archer -> Arbalétiste -> Balistier,"Les Balistiers sont des Arbalétiers devenus maîtres. Ils sont généralement affecter a une seul position clé. Certains cependant, ont suffisamment entraîné leur force pour pouvoir se déplacer avec leur Baliste."
Garde du Conseil,Tiers 4,Recrue -> Soldat -> Garde -> Garde du Conseil,"Les Gardes du Conseils sont les Gardes ayant été reconnus par un membre du Conseil. Sous recommandation, ils peuvent y être promu et, à la manière d’un chevalier, font le serment de protéger le conseil."
Protecteur,Tiers 4,Recrue -> Soldat -> Garde -> Protecteur,Les Protecteurs sont Gardes ayant gagné une grande renommé. Ils commandent d’autres gardes et sont affecté à une forteresse. Ils ne sont pas très apprécié par la Noblesse.
Fidèle,Tiers 4,Recrue -> Soldat -> Chevalier -> Fidèle,Les Fidèles sont des Chevaliers ayant fait un serment de fidélité au Conseil. Ils sont reconnus comme maître mais moins respecté que les Sentinelles.
Sentinelle,Tiers 4,Recrue -> Soldat -> Chevalier -> Sentinelle,"Les Sentinelles sont des Chevalier ayant était anoblie et ayant fait un Serment au pied de la montagne. Ils sont repéré, comme le veux la tradition, par les autres Sentinelles pour devenir leur disciple et se compte au numbero de 4. Elles sont la force la plus respecté par le peuple et la plus puissante après le Conseil."
Noble Épéiste,Tiers 4,Recrue -> Soldat -> Epéiste -> Noble Epéiste,Les Nobles Épéistes sont des épéistes ayant maîtrisé le style d’épée d’une famille noble. Ils sont généralement un descendant ou héritier et de futurs membres du Conseil.
Maître Épéiste,Tiers 4,Recrue -> Soldat -> Epéiste -> Maitre Epéiste,"Les Maîtres Épéistes sont des épéistes ayant maîtrisé plusieurs technique d’épée. Ils sont eux mêmes séparé en deux catégories : les maîtres d’armes, qui maîtrises et portent plusieurs type d’épée et les théoriciens qui ne maîtrisent qu’une épée mais connaissent de nombreux styles différents et ont fini par créer le leur."
Épéiste Magique,Tiers 4,Recrue -> Soldat -> Epéiste -> Epéiste Magique,Les Épéistes Magique sont les épéistes ayant une grande affinité avec la magie. Ils ont dût suivre une formation de mage en plus de leur formation de soldat et peuvent enchanter leur lame, pour ajouter une touche personnelle à leur style.
